ICB_NAME,Drug_Category,Total_Items,Total_Quantity,Total_Cost
NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,Anxiolytic,18048,501050.0,80246.29385
"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE INTEGRATED CARE BOARD",Anxiolytic,16566,489128.0,76923.23815
NHS NOTTINGHAM AND NOTTINGHAMSHIRE INTEGRATED CARE BOARD,Anxiolytic,16419,492251.0,87363.05079
NHS CAMBRIDGESHIRE AND PETERBOROUGH INTEGRATED CARE BOARD,Anxiolytic,15278,452810.0,92097.79944
NHS DORSET INTEGRATED CARE BOARD,Anxiolytic,15153,407386.0,75089.40006
NHS CORNWALL AND THE ISLES OF SCILLY INTEGRATED CARE BOARD,Anxiolytic,15144,443420.0,65951.77777
NHS NORTHAMPTONSHIRE INTEGRATED CARE BOARD,Anxiolytic,14358,397820.0,51273.84196
NHS FRIMLEY INTEGRATED CARE BOARD,Anxiolytic,13107,468410.0,99431.32121
NHS SOMERSET INTEGRATED CARE BOARD,Anxiolytic,10833,303733.0,55720.404800000004
"NHS SHROPSHIRE, TELFORD AND WREKIN INTEGRATED CARE BOARD",Anxiolytic,10162,372819.0,63702.5175
UNIDENTIFIED,Antidepressant,331,11319.0,907.688
UNIDENTIFIED,Anxiolytic,158,4907.0,1610.29152
